FE,EngDispl,NumCyl,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,B0,B1
28.0198,4.7,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
25.6094,4.7,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
26.8,4.2,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
25.0451,4.2,8,6,1,0,2,2,1,0,50.56322991,-4.520929279
24.8,5.2,10,6,0,0,2,2,1,0,50.56322991,-4.520929279
23.9,5.2,10,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.7256,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
24.4,6,12,6,0,0,2,2,1,0,50.56322991,-4.520929279
39.7103,3,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
38.7896,3,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
33.6296,3,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
35.2678,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
17.8,8,16,7,0,0,2,2,1,0,50.56322991,-4.520929279
27.1,6.2,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
34.3493,6.2,8,6,1,0,1,1,0,0,50.56322991,-4.520929279
35.8,6.2,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
33.7,7,8,6,0,0,1,1,0,0,50.56322991,-4.520929279
30,8.4,10,6,0,0,1,1,1,0,50.56322991,-4.520929279
30,8.4,10,6,0,0,1,1,1,0,50.56322991,-4.520929279
24.3499,4.5,8,7,0,0,2,2,1,0,50.56322991,-4.520929279
20.99,5.7,12,6,0,0,2,2,1,0,50.56322991,-4.520929279
21.1,5.7,12,6,0,0,2,2,1,0,50.56322991,-4.520929279
25.4,5.2,10,6,1,0,2,2,1,0,50.56322991,-4.520929279
24,5.2,10,6,0,0,2,2,1,0,50.56322991,-4.520929279
25.4,5.2,10,6,0,0,2,2,1,0,50.56322991,-4.520929279
22.6,5.2,10,6,0,0,2,2,1,0,50.56322991,-4.520929279
17.5,6.5,12,7,0,0,2,2,1,0,50.56322991,-4.520929279
19.9,6.5,12,7,0,0,2,2,1,0,50.56322991,-4.520929279
19.9,6.5,12,7,0,0,2,2,1,0,50.56322991,-4.520929279
17.5,6.5,12,7,0,0,2,2,1,0,50.56322991,-4.520929279
19.9,6.5,12,7,0,0,2,2,1,0,50.56322991,-4.520929279
37.62,1.8,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.0028,1.8,4,6,0,0,2,2,1,1,50.56322991,-4.520929279
38.9959,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
39,2,4,6,0,0,2,2,1,0,50.56322991,-4.520929279
38.512,2,4,6,1,0,2,2,1,0,50.56322991,-4.520929279
29.3,5.5,8,7,1,0,2,2,1,0,50.56322991,-4.520929279
35.9,3,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
36.2,3.5,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
34.5,3.5,6,7,1,0,2,2,1,0,50.56322991,-4.520929279
34.7927,3.5,6,6,0,0,2,2,1,0,50.56322991,-4.520929279
30.8,5.5,8,7,1,0,2,1,1,0,50.56322991,-4.520929279
57.8,1,3,5,1,0,2,2,1,0,50.56322991,-4.520929279
57.8,1,3,5,1,0,2,2,1,0,50.56322991,-4.520929279
35.9802,3.7,6,6,1,0,2,2,1,1,50.56322991,-4.520929279
36.9,3.7,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
34.5832,3.7,6,7,1,0,2,2,1,1,50.56322991,-4.520929279
34.9,3.7,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.5,2,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
40,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
33.6,2.4,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
36.4,2.4,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
28.5532,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
27.372,3.8,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
37.3296,2.9,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
41.3608,2.9,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
36.7299,3.4,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
40.9978,3.4,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
37.3296,2.9,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
41.3608,2.9,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
36.7299,3.4,6,6,0,0,2,2,1,1,50.56322991,-4.520929279
40.9978,3.4,6,7,0,0,2,2,1,1,50.56322991,-4.520929279
37.5,2,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
40,2,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
36.4,2.4,4,5,0,0,2,2,1,0,50.56322991,-4.520929279
33.6,2.4,4,5,1,0,2,2,1,0,50.56322991,-4.520929279
27.471,4.2,8,6,1,0,3,2,1,0,50.56322991,-4.520929279
23.6523,5.9,12,6,1,0,2,2,0,0,50.56322991,-4.520929279
